open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,ID,DateTime,Symbol,Quantity,Rate,Side,XRPUSD_BestBid,XRPUSD_BestAsk,XRPEUR_BestBid,XRPEUR_BestAsk,USDEUR_BestBid,USDEUR_BestAsk
2025-03-29 19:07:00,2.1251,2.1269,2.125,2.1254,96397.0,204945.3628,783,29525.0,62758.0051,0,409930248,2025-03-29 19:07:57,XRPUSD,42.664,2.12453,Buy,2.12441,2.12453,1.9628,1.96316,,
2025-03-29 19:08:00,2.1254,2.1266,2.123,2.123,46141.0,98074.0695,664,19313.0,41044.3859,0,409930272,2025-03-29 19:08:18,XRPUSD,70.033,2.12607,Buy,2.12568,2.12607,1.96409,1.96445,,
2025-03-29 19:08:00,2.1254,2.1266,2.123,2.123,46141.0,98074.0695,664,19313.0,41044.3859,0,409930285,2025-03-29 19:08:43,XRPUSD,109.102,2.12356,Buy,2.12335,2.12356,1.96196,1.96227,,
2025-03-29 19:09:00,2.123,2.1235,2.1204,2.1206,86427.0,183333.0016,673,14576.0,30921.944,0,409930353,2025-03-29 19:09:15,XRPUSD,1107.0,2.12224,Buy,2.12202,2.12224,1.96064,1.96098,,
2025-03-29 19:09:00,2.123,2.1235,2.1204,2.1206,86427.0,183333.0016,673,14576.0,30921.944,0,409930387,2025-03-29 19:09:56,XRPUSD,2359.14253986,2.11942,Buy,2.11915,2.11947,1.95791,1.9584,,
2025-03-29 19:10:00,2.1206,2.1206,2.1186,2.119,52090.0,110409.3519,391,32285.0,68429.7763,0,409930410,2025-03-29 19:10:12,XRPUSD,60.0,2.11869,Buy,2.11844,2.1188700000000003,1.95728,1.95768,,
2025-03-29 19:10:00,2.1206,2.1206,2.1186,2.119,52090.0,110409.3519,391,32285.0,68429.7763,0,409930445,2025-03-29 19:10:40,XRPUSD,9.381,2.11862,Buy,2.11858,2.11862,1.95753,1.95761,,
2025-03-29 19:10:00,2.1206,2.1206,2.1186,2.119,52090.0,110409.3519,391,32285.0,68429.7763,0,409930446,2025-03-29 19:10:40,XRPUSD,945.0,2.11862,Buy,2.11858,2.11862,1.95753,1.95761,,
2025-03-29 19:11:00,2.1191,2.1198,2.1179,2.1182,32232.0,68297.8599,401,10815.0,22912.2152,0,409930463,2025-03-29 19:11:05,XRPUSD,1995.0,2.11922,Buy,2.11859,2.11923,1.95748,1.95821,,
2025-03-29 19:11:00,2.1191,2.1198,2.1179,2.1182,32232.0,68297.8599,401,10815.0,22912.2152,0,409930518,2025-03-29 19:11:35,XRPUSD,947.0,2.11804,Buy,2.11784,2.11804,1.95671,1.95707,,
