open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743638400,2.0237,2.025,2.0182,2.0198,519097.0,1049203.7707,4670,234368.0,473669.1768,0
1743638460,2.0198,2.02,2.0079,2.0091,691547.0,1392594.4341,5728,298753.0,601754.0075,0
1743638520,2.009,2.0169,2.0073,2.0159,446142.0,897372.2649,4035,280934.0,565082.5299,0
1743638580,2.016,2.018,2.0108,2.0116,386588.0,778723.6251,3908,212370.0,427716.4108,0
1743638640,2.0115,2.0152,2.0108,2.0152,272811.0,549059.2191,2881,170845.0,343822.528,0
1743638700,2.0153,2.028,2.0151,2.028,260625.0,526447.5549,3943,138884.0,280458.3632,0
1743638760,2.0281,2.034,2.0263,2.0337,510281.0,1035807.8436,6399,249159.0,505689.0167,0
1743638820,2.0336,2.0354,2.0232,2.024,810699.0,1646429.9775,7211,409157.0,831047.6679,0
1743638880,2.0241,2.0286,2.0233,2.028,287599.0,582622.4875,4293,108514.0,219816.0796,0
1743638940,2.028,2.0333,2.0277,2.0302,269862.0,547872.3645,3187,135745.0,275543.9621,0
1743639000,2.0303,2.0319,2.0297,2.0312,392768.0,797673.9757,2411,183603.0,372874.8695,0
1743639060,2.0312,2.0355,2.0301,2.0326,807832.0,1642639.8448,3091,530598.0,1078909.7938,0
1743639120,2.0327,2.037,2.0327,2.0366,593328.0,1207675.9606,2572,439211.0,894022.2332,0
1743639180,2.0366,2.0395,2.0351,2.0391,938719.0,1912526.725,3825,629129.0,1281773.7791,0
1743639240,2.0391,2.042,2.0379,2.0393,536452.0,1094622.9726,3540,327704.0,668668.6835,0
1743639300,2.0393,2.0427,2.0347,2.0353,400296.0,816395.9406,3547,173834.0,354537.9922,0
1743639360,2.0354,2.0403,2.0339,2.0402,307963.0,627270.2675,3487,138986.0,283066.2936,0
1743639420,2.0403,2.0424,2.038,2.0413,238600.0,486658.1883,3183,148573.0,303008.2024,0
1743639480,2.0414,2.0435,2.04,2.0424,296331.0,605018.6056,2854,197467.0,403129.4488,0
1743639540,2.0423,2.049,2.0408,2.0483,1296159.0,2650739.7473,5352,708427.0,1448952.3003,0
1743639600,2.0484,2.0484,2.045,2.0456,399796.0,818177.9746,5036,168031.0,343865.0662,0
1743639660,2.0456,2.0527,2.0452,2.0527,423456.0,867707.0604,3078,315965.0,647516.6423,0
1743639720,2.0528,2.0576,2.0524,2.0542,981737.0,2017464.2409,5810,566182.0,1163384.8462,0
1743639780,2.0541,2.0584,2.0523,2.0526,544747.0,1119437.3442,4846,230687.0,474167.1429,0
1743639840,2.0525,2.0573,2.0525,2.0569,545538.0,1120627.2079,3389,438534.0,900685.8414,0
1743639900,2.0568,2.0579,2.0541,2.0574,454196.0,933840.7502,3556,182784.0,375847.388,0
1743639960,2.0573,2.059,2.0553,2.0576,191728.0,394333.0309,2138,129773.0,266922.2413,0
1743640020,2.0575,2.0575,2.0495,2.0514,512068.0,1051532.3815,3320,255457.0,524826.1249,0
1743640080,2.0514,2.0514,2.0446,2.0446,305935.0,626419.1532,2431,97937.0,200524.3226,0
1743640140,2.0446,2.0463,2.0416,2.0461,161958.0,331037.9807,1850,70536.0,144188.2918,0
1743640200,2.0462,2.0529,2.0455,2.0518,198167.0,406354.3537,3439,134283.0,275332.2218,0
1743640260,2.0518,2.0571,2.0516,2.0559,424075.0,871628.0297,3409,265666.0,546110.6833,0
1743640320,2.0558,2.0615,2.0558,2.0599,341030.0,702507.7793,3413,125993.0,259556.0959,0
1743640380,2.0599,2.0624,2.0573,2.062,274355.0,565169.8255,2387,73090.0,150540.2835,0
1743640440,2.062,2.062,2.0548,2.0548,465799.0,959186.9616,2999,190744.0,392756.9106,0
1743640500,2.0548,2.0599,2.0547,2.0599,232841.0,478944.3096,2315,80281.0,165120.892,0
1743640560,2.0599,2.063,2.0595,2.0622,245830.0,506652.1071,2237,91437.0,188418.6102,0
1743640620,2.0622,2.0622,2.0586,2.0611,253745.0,522851.3783,2662,93853.0,193394.3512,0
1743640680,2.0611,2.063,2.0601,2.0615,332180.0,684821.2269,2446,155844.0,321271.2805,0
1743640740,2.0615,2.0622,2.0584,2.0594,351303.0,723828.1489,2115,133779.0,275629.1076,0
1743640800,2.0594,2.0599,2.0565,2.0565,288856.0,594424.0196,2596,141425.0,291028.3862,0
1743640860,2.0565,2.0612,2.0547,2.0607,248839.0,512261.0587,2607,60504.0,124501.1483,0
1743640920,2.0607,2.064,2.0606,2.0623,215546.0,444613.1608,1698,85143.0,175626.581,0
1743640980,2.0622,2.0622,2.0573,2.0583,284625.0,586068.6558,2474,47261.0,97299.4269,0
1743641040,2.0584,2.0615,2.0557,2.0565,351395.0,723497.0272,2479,130516.0,268699.0029,0
1743641100,2.0566,2.0588,2.0551,2.0577,265977.0,547065.016,3058,133917.0,275408.2247,0
1743641160,2.0578,2.0587,2.0531,2.0547,340521.0,700242.9706,2857,103948.0,213726.783,0
1743641220,2.0546,2.0547,2.048,2.05,476219.0,976843.0955,3021,156961.0,321968.5424,0
1743641280,2.05,2.0507,2.0469,2.049,250292.0,512702.0373,2502,95897.0,196430.1006,0
1743641340,2.049,2.0526,2.049,2.0524,188422.0,386470.8463,2313,74749.0,153313.7446,0
1743641400,2.0524,2.0531,2.0485,2.0487,351245.0,720251.8813,2741,146383.0,300159.1398,0
1743641460,2.0486,2.0507,2.0455,2.0507,362349.0,742103.4182,2946,157728.0,323003.4358,0
1743641520,2.0507,2.0529,2.0499,2.0513,171563.0,351982.0736,1455,53952.0,110697.6947,0
1743641580,2.0513,2.0569,2.0504,2.0568,282189.0,579560.2705,1783,180668.0,371070.3786,0
1743641640,2.0567,2.0568,2.0542,2.0548,108204.0,222411.0021,1107,22586.0,46423.3503,0
1743641700,2.0547,2.056,2.0541,2.0551,84079.0,172776.7022,1395,22123.0,45461.4214,0
1743641760,2.0551,2.0571,2.054,2.0566,121699.0,250130.3261,969,34390.0,70682.0729,0
1743641820,2.0566,2.0595,2.0566,2.0583,196549.0,404635.0489,1457,46799.0,96338.9187,0
1743641880,2.0582,2.0613,2.0582,2.0612,118613.0,244278.4941,1091,53826.0,110863.8279,0
1743641940,2.0612,2.0636,2.0612,2.0635,164307.0,338925.2035,1131,80146.0,165321.1745,0
1743642000,2.0636,2.0661,2.0609,2.0616,260437.0,537338.605,2504,94419.0,194797.0241,0
1743642060,2.0616,2.0643,2.0595,2.0608,203764.0,420021.2927,2332,98407.0,202862.431,0
1743642120,2.0608,2.0666,2.0572,2.0666,395297.0,815442.4134,2569,213289.0,440170.7122,0
1743642180,2.0666,2.0667,2.0615,2.063,281234.0,580317.1224,2245,116602.0,240538.9958,0
1743642240,2.0631,2.0664,2.0631,2.0633,222067.0,458501.676,1669,45519.0,93959.7119,0
1743642300,2.0633,2.0643,2.0538,2.0565,360540.0,742187.5308,3088,143240.0,294836.5845,0
1743642360,2.0565,2.0579,2.054,2.0575,511602.0,1051714.1083,2969,238132.0,489523.4112,0
1743642420,2.0574,2.0623,2.0559,2.0608,416046.0,856723.9869,2925,190090.0,391595.0372,0
1743642480,2.0608,2.0611,2.0588,2.0611,243367.0,501320.7062,1762,105856.0,218044.417,0
1743642540,2.0612,2.0616,2.0578,2.0581,167774.0,345473.474,1626,43312.0,89182.0308,0
1743642600,2.058,2.0584,2.0555,2.0559,319783.0,657732.5904,2689,105140.0,216229.8951,0
1743642660,2.056,2.0593,2.0548,2.0585,515109.0,1059906.5005,2381,348999.0,718234.3778,0
1743642720,2.0585,2.0626,2.0585,2.061,230020.0,473924.2922,1621,157780.0,325012.5135,0
1743642780,2.0611,2.0627,2.06,2.0622,368759.0,760271.165,1115,60912.0,125548.1072,0
1743642840,2.0621,2.0646,2.0616,2.0616,129166.0,266480.5934,1229,49492.0,102099.568,0
1743642900,2.0617,2.0648,2.0616,2.0648,158744.0,327584.0445,1107,77974.0,160884.2932,0
1743642960,2.0648,2.0658,2.0601,2.0624,408577.0,842677.5288,2081,164067.0,338284.2929,0
1743643020,2.0623,2.072,2.0619,2.0707,313378.0,648101.4019,2466,203010.0,419845.8552,0
1743643080,2.0708,2.0721,2.0668,2.069,248870.0,514869.8197,2122,117723.0,243482.2917,0
1743643140,2.0691,2.0691,2.0632,2.0632,376045.0,776798.3794,1865,109614.0,226443.1862,0
1743643200,2.0632,2.0632,2.056,2.0571,223699.0,460634.9437,2052,70228.0,144591.6431,0
1743643260,2.0571,2.0583,2.0553,2.0563,381641.0,784724.5568,1875,165574.0,340404.5075,0
1743643320,2.0563,2.06,2.0556,2.059,369968.0,761602.111,1621,121641.0,250339.0749,0
1743643380,2.0591,2.0631,2.0591,2.0603,134989.0,278175.4365,1339,71444.0,147214.0404,0
1743643440,2.0603,2.0629,2.0573,2.0612,260335.0,536388.87,1979,144222.0,297063.9409,0
1743643500,2.0612,2.0624,2.0599,2.0621,377143.0,777291.1688,1836,257748.0,531175.347,0
1743643560,2.062,2.0622,2.057,2.0583,142414.0,293388.8384,1159,55865.0,115023.3391,0
1743643620,2.0582,2.0614,2.0582,2.0612,215028.0,442874.4142,1224,89599.0,184543.348,0
1743643680,2.0611,2.0621,2.0597,2.0613,213786.0,440651.6613,1163,151971.0,313235.7121,0
1743643740,2.0612,2.0627,2.0599,2.0614,154983.0,319502.0833,1208,71824.0,148049.7496,0
1743643800,2.0613,2.0628,2.0577,2.06,229451.0,472584.3011,1820,69570.0,143278.9616,0
1743643860,2.06,2.0634,2.0592,2.0621,508425.0,1047896.5162,3018,254124.0,523699.1735,0
1743643920,2.0621,2.0665,2.0606,2.0659,247150.0,510143.2178,1650,78773.0,162570.9947,0
1743643980,2.066,2.066,2.06,2.0608,226519.0,467417.5884,1669,75622.0,156021.6161,0
1743644040,2.0608,2.0614,2.059,2.0599,185632.0,382416.582,1514,60688.0,125008.0687,0
1743644100,2.0599,2.0607,2.0567,2.059,216097.0,444836.4453,1478,107588.0,221449.775,0
1743644160,2.0589,2.0623,2.0581,2.0605,245648.0,506178.254,2004,111167.0,229067.6155,0
1743644220,2.0605,2.0634,2.0595,2.0623,195842.0,403684.9399,1728,90904.0,187386.2197,0
1743644280,2.0623,2.0623,2.059,2.0604,222596.0,458570.9866,1448,123427.0,254237.8144,0
