open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743292800,2.1352,2.1355,2.1332,2.1333,41294.0,88129.3286,786,17158.0,36622.1357,0
1743292860,2.1332,2.137,2.1314,2.1356,190203.0,405895.4215,1591,99567.0,212464.224,0
1743292920,2.1355,2.1357,2.1341,2.1341,82648.0,176440.143,562,28711.0,61296.7584,0
1743292980,2.1341,2.1358,2.1328,2.1341,42611.0,90958.3923,633,34167.0,72930.0532,0
1743293040,2.134,2.134,2.1297,2.1313,84543.0,180193.585,621,12794.0,27261.7723,0
1743293100,2.1313,2.1323,2.13,2.13,53810.0,114673.9742,495,24151.0,51474.7541,0
1743293160,2.13,2.13,2.1268,2.1268,85598.0,182168.9424,577,56521.0,120287.5707,0
1743293220,2.1268,2.1279,2.1254,2.1279,39125.0,83204.1712,560,19273.0,40990.0012,0
1743293280,2.128,2.1307,2.127,2.1299,54103.0,115139.8598,655,40610.0,86424.9943,0
1743293340,2.1298,2.136,2.1298,2.1338,284183.0,606106.1552,1139,158999.0,339010.4169,0
1743293400,2.1338,2.1338,2.1291,2.1293,128933.0,274622.8479,448,18795.0,40050.5127,0
1743293460,2.1293,2.1316,2.1291,2.1314,66738.0,142188.0476,634,36217.0,77159.8691,0
1743293520,2.1313,2.136,2.1313,2.136,38349.0,81817.5037,645,24358.0,51981.3906,0
1743293580,2.1359,2.1381,2.1349,2.1353,179664.0,383769.6698,541,135631.0,289710.7511,0
1743293640,2.1352,2.1372,2.1348,2.1371,125435.0,267842.4003,610,19704.0,42087.0721,0
1743293700,2.1371,2.1388,2.1356,2.1356,46325.0,99034.454,422,32563.0,69616.8432,0
1743293760,2.1356,2.1374,2.1347,2.1349,59278.0,126650.1484,533,46025.0,98336.4826,0
1743293820,2.1349,2.1363,2.1342,2.1346,20812.0,44434.4981,343,8433.0,18004.9316,0
1743293880,2.1347,2.1379,2.1347,2.137,134491.0,287155.3146,706,76771.0,163917.5626,0
1743293940,2.1369,2.1383,2.1367,2.1378,27605.0,59017.677,464,24261.0,51868.8079,0
1743294000,2.1377,2.1403,2.1374,2.1375,48837.0,104460.9694,701,32748.0,70046.2051,0
1743294060,2.1374,2.1375,2.1333,2.1333,70166.0,149841.3767,433,18893.0,40350.8782,0
1743294120,2.1334,2.1361,2.1333,2.1352,25814.0,55101.525,593,22941.0,48968.6788,0
