open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-03-28 00:00:00,2.3411,2.3414,2.3389,2.3399,11424.0,26737.3564,683,4310.0,10087.9929,0
2025-03-28 00:01:00,2.34,2.3413,2.3378,2.3378,15940.0,37294.8289,746,5866.0,13728.5567,0
2025-03-28 00:02:00,2.3378,2.3378,2.3364,2.3369,58944.0,137737.4864,358,25378.0,59299.5194,0
2025-03-28 00:03:00,2.3368,2.3371,2.3348,2.3364,93978.0,219522.9034,801,63239.0,147700.3713,0
2025-03-28 00:04:00,2.3364,2.3364,2.3347,2.3353,37411.0,87369.6502,517,12375.0,28899.4908,0
2025-03-28 00:05:00,2.3353,2.3353,2.3307,2.3308,63456.0,148001.8613,1092,14579.0,34001.8359,0
2025-03-28 00:06:00,2.3307,2.3318,2.3295,2.3295,222373.0,518232.5302,934,34857.0,81254.5431,0
2025-03-28 00:07:00,2.3295,2.3323,2.3272,2.3323,145852.0,339815.5161,1339,59735.0,139181.4985,0
2025-03-28 00:08:00,2.3322,2.3334,2.3313,2.3333,18581.0,43333.4044,547,11468.0,26743.6581,0
2025-03-28 00:09:00,2.3334,2.3334,2.3284,2.3285,24411.0,56900.5911,701,5967.0,13906.0128,0
2025-03-28 00:10:00,2.3285,2.3293,2.3272,2.3285,85110.0,198169.5579,750,50165.0,116816.9787,0
2025-03-28 00:11:00,2.3284,2.3301,2.3277,2.3295,121465.0,282879.0654,933,43089.0,100348.8484,0
2025-03-28 00:12:00,2.3295,2.3295,2.3265,2.3266,34731.0,80830.75200000001,663,23289.0,54201.4299,0
2025-03-28 00:13:00,2.3266,2.327,2.3259,2.3262,30616.0,71230.07,269,11792.0,27436.009,0
2025-03-28 00:14:00,2.3262,2.3274,2.3244,2.3245,91514.0,212842.1173,653,26365.0,61329.8868,0
2025-03-28 00:15:00,2.3246,2.3256,2.3241,2.325,95825.0,222783.3224,757,28913.0,67216.6715,0
2025-03-28 00:16:00,2.325,2.3262,2.3248,2.3251,114763.0,266902.067,404,17339.0,40322.2933,0
2025-03-28 00:17:00,2.325,2.3272,2.3243,2.3271,136663.0,317776.476,839,36830.0,85649.3463,0
2025-03-28 00:18:00,2.3272,2.3284,2.3265,2.3278,32719.0,76148.5746,480,14822.0,34494.4898,0
2025-03-28 00:19:00,2.3277,2.3280000000000003,2.3265,2.3272,18642.0,43380.9877,297,7846.0,18259.5354,0
2025-03-28 00:20:00,2.3271,2.3283,2.3253,2.3254,33721.0,78478.7277,441,9528.0,22174.3906,0
2025-03-28 00:21:00,2.3255,2.3266,2.3244,2.3249,43987.0,102273.2481,455,23954.0,55692.6879,0
2025-03-28 00:22:00,2.3249,2.3262,2.3249,2.3256,22712.0,52825.0851,349,12433.0,28916.4555,0
2025-03-28 00:23:00,2.3256,2.3265,2.3248,2.3264,30628.0,71232.832,367,7704.0,17915.7195,0
2025-03-28 00:24:00,2.3264,2.3265,2.3261,2.3261,11853.0,27575.3855,121,7669.0,17841.8567,0
2025-03-28 00:25:00,2.326,2.3291,2.326,2.3283,22926.0,53364.203,264,8073.0,18789.4719,0
2025-03-28 00:26:00,2.3283,2.3283,2.3252,2.3253,21671.0,50418.45,462,6021.0,14007.6442,0
2025-03-28 00:27:00,2.3253,2.3253,2.3233,2.3233,62875.0,146143.232,469,11480.0,26675.2637,0
2025-03-28 00:28:00,2.3233,2.3258,2.3231,2.325,31575.0,73377.2051,420,25865.0,60103.7198,0
2025-03-28 00:29:00,2.3251,2.3251,2.3205,2.322,266138.0,617974.7235,1222,98708.0,229159.3511,0
2025-03-28 00:30:00,2.322,2.3223,2.3177,2.3213,529002.0,1227120.7122,2091,156808.0,363687.5505,0
2025-03-28 00:31:00,2.3214,2.3236,2.3214,2.3234,43059.0,100026.9744,787,13030.0,30266.4216,0
2025-03-28 00:32:00,2.3234,2.3254,2.3221,2.3224,144925.0,336764.2751,1402,115253.0,267791.2758,0
2025-03-28 00:33:00,2.3224,2.3239,2.3196,2.3198,156340.0,363029.7483,1146,21155.0,49131.6821,0
2025-03-28 00:34:00,2.3198,2.3202,2.3113,2.3115,403124.0,932923.0508,4120,191681.0,443613.5939,0
2025-03-28 00:35:00,2.3114,2.3155,2.3077,2.3137,500954.0,1157415.2744,4102,133455.0,308384.194,0
