open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743552000,2.1387,2.1395,2.1352,2.1354,197480.0,422289.959,1017,17905.0,38289.7502,0
1743552060,2.1354,2.1365,2.1337,2.1338,241198.0,514991.7846,802,29465.0,62918.976,0
1743552120,2.1338,2.1356,2.1328,2.1345,73333.0,156491.7512,1075,50844.0,108497.1365,0
1743552180,2.1345,2.1349,2.1337,2.1338,35234.0,75198.0182,539,23276.0,49677.8498,0
1743552240,2.1338,2.1363,2.1319,2.1363,39772.0,84860.4257,591,20497.0,43742.5884,0
1743552300,2.1362,2.1385,2.1349,2.1383,72247.0,154356.4642,931,33244.0,71043.0421,0
1743552360,2.1383,2.1397,2.1369,2.1386,32681.0,69881.4545,649,21794.0,46602.0722,0
1743552420,2.1386,2.1386,2.1326,2.1336,39718.0,84820.2469,1016,16710.0,35676.4937,0
1743552480,2.1336,2.1339,2.1319,2.1339,36053.0,76884.0279,819,25279.0,53906.4126,0
1743552540,2.134,2.1351,2.1334,2.1334,47648.0,101693.6766,724,39177.0,83609.2436,0
1743552600,2.1335,2.1339,2.1311,2.1311,24565.0,52378.5315,565,7131.0,15205.2481,0
1743552660,2.131,2.1331,2.1304,2.131,71203.0,151771.4707,734,49384.0,105263.9448,0
1743552720,2.1311,2.1324,2.131,2.1313,37405.0,79738.814,578,9095.0,19388.1531,0
1743552780,2.1312,2.1312,2.1285,2.1291,107005.0,227872.2131,823,50809.0,108182.3805,0
1743552840,2.1291,2.1297,2.1285,2.1287,43881.0,93423.3847,484,32400.0,68978.8381,0
1743552900,2.1287,2.1335,2.1279,2.1328,131121.0,279299.2475,994,72604.0,154698.5102,0
1743552960,2.1328,2.1336,2.1273,2.1282,171784.0,365843.5611,676,38925.0,82882.0276,0
1743553020,2.1282,2.129,2.1263,2.1281,132193.0,281272.1268,1075,86298.0,183607.4445,0
1743553080,2.1281,2.1316,2.128,2.131,49026.0,104419.1526,1155,22972.0,48921.2611,0
1743553140,2.1309,2.1314,2.1259,2.1265,183164.0,389734.1997,1121,40201.0,85541.7901,0
1743553200,2.1265,2.132,2.1261,2.1315,59328.0,126293.7575,788,45027.0,95821.8161,0
1743553260,2.1314,2.1314,2.1284,2.1291,44681.0,95139.7374,642,29866.0,63590.0663,0
1743553320,2.1291,2.1291,2.1259,2.1259,76295.0,162249.8908,837,27140.0,57733.4638,0
1743553380,2.1259,2.1325,2.1256,2.1317,54112.0,115127.8702,971,21876.0,46562.8394,0
1743553440,2.1316,2.1323,2.1302,2.132,131573.0,280418.6636,828,20012.0,42650.4714,0
1743553500,2.132,2.134,2.1279,2.1279,52015.0,110841.1433,961,23950.0,51014.2722,0
1743553560,2.1278,2.1288,2.1276,2.1276,59458.0,126540.6086,603,31680.0,67417.032,0
1743553620,2.1275,2.1288,2.1269,2.1282,32135.0,68383.9034,589,17507.0,37254.8421,0
1743553680,2.1283,2.1291,2.1245,2.1252,154300.0,327989.2062,745,35773.0,76054.0318,0
1743553740,2.1251,2.1257,2.1235,2.1235,45965.0,97652.3589,499,14208.0,30186.4192,0
1743553800,2.1235,2.1249,2.123,2.1244,137390.0,291819.1108,1043,81360.0,172798.8579,0
1743553860,2.1244,2.1277,2.1238,2.1264,118636.0,252219.9001,1167,90245.0,191876.1406,0
1743553920,2.1263,2.1291,2.1253,2.129,86919.0,184950.4591,808,62189.0,132338.7538,0
1743553980,2.129,2.13,2.1277,2.1299,207779.0,442183.2712,1140,102174.0,217436.7763,0
1743554040,2.1299,2.1323,2.1287,2.1318,136810.0,291379.8093,784,111651.0,237789.5462,0
1743554100,2.1319,2.1321,2.1289,2.129,178499.0,380286.7042,651,122820.0,261654.0158,0
1743554160,2.1289,2.131,2.1289,2.1306,106984.0,227902.0017,561,51068.0,108776.7067,0
1743554220,2.1305,2.1319,2.1282,2.1319,98459.0,209743.8488,955,34764.0,74043.3476,0
1743554280,2.1319,2.132,2.1301,2.1316,20124.0,42885.9934,661,3802.0,8102.8471,0
1743554340,2.1317,2.132,2.1278,2.1283,37192.0,79208.1393,645,8129.0,17313.1232,0
1743554400,2.1283,2.1291,2.1257,2.1258,83004.0,176527.9738,983,21948.0,46670.063,0
1743554460,2.1258,2.1277,2.1253,2.1277,98046.0,208504.2771,813,48419.0,102954.4894,0
1743554520,2.1277,2.1277,2.1238,2.1244,31256.0,66425.9777,692,16688.0,35461.1704,0
1743554580,2.1243,2.1248,2.1231,2.1239,45175.0,95950.3843,613,22840.0,48512.6951,0
1743554640,2.1239,2.1245,2.1227,2.1243,67897.0,144198.5853,538,18686.0,39681.6978,0
1743554700,2.1243,2.1298,2.1243,2.1297,18795.0,39997.9676,548,12979.0,27617.8075,0
1743554760,2.1298,2.13,2.125,2.1251,49580.0,105482.1347,378,23466.0,49950.5403,0
1743554820,2.1251,2.1262,2.1243,2.1258,64607.0,137311.0804,534,18241.0,38766.3608,0
1743554880,2.1259,2.1267,2.124,2.1242,31569.0,67077.5955,609,24525.0,52110.0584,0
1743554940,2.1243,2.1258,2.1229,2.1248,59441.0,126246.0723,554,29239.0,62101.7604,0
1743555000,2.1248,2.1251,2.1222,2.1233,76381.0,162192.8231,805,48914.0,103861.2722,0
1743555060,2.1232,2.1238,2.1221,2.1238,87972.0,186743.6949,659,73144.0,155264.7873,0
1743555120,2.1238,2.1239,2.1181,2.1191,299000.0,633920.486,1157,51681.0,109539.7743,0
1743555180,2.1191,2.1191,2.1143,2.1143,287306.0,607909.1737,1598,63607.0,134579.2392,0
1743555240,2.1144,2.1175,2.1144,2.1164,121615.0,257413.8951,803,100226.0,212142.2016,0
1743555300,2.1165,2.1176,2.114,2.1142,117042.0,247587.1732,1079,43334.0,91700.4823,0
1743555360,2.1142,2.1176,2.1131,2.1146,463771.0,981193.8289,1300,403002.0,852717.377,0
1743555420,2.1146,2.1146,2.11,2.1114,279900.0,590873.7083,1905,148565.0,313587.4071,0
1743555480,2.1115,2.1134,2.1115,2.1132,34549.0,72988.2909,787,26185.0,55318.6315,0
1743555540,2.1131,2.1154,2.1124,2.1149,49959.0,105613.8562,714,36403.0,76956.97,0
1743555600,2.115,2.115,2.1114,2.1121,102530.0,216643.4584,1037,44552.0,94155.963,0
1743555660,2.1121,2.1135,2.1078,2.109,298834.0,630390.8133,1501,94605.0,199557.221,0
1743555720,2.1091,2.112,2.108,2.1092,165335.0,348799.9509,1339,88775.0,187282.6932,0
1743555780,2.1092,2.1092,2.1071,2.1078,65584.0,138249.9554,732,32834.0,69206.1792,0
1743555840,2.1077,2.1126,2.1072,2.1125,81773.0,172533.7968,820,69882.0,147448.7628,0
1743555900,2.1124,2.1124,2.1084,2.1084,42745.0,90217.4968,443,16568.0,34972.5392,0
1743555960,2.1083,2.1118,2.108,2.1118,157041.0,331345.0303,841,108086.0,228058.9914,0
1743556020,2.1118,2.1158,2.1117,2.1144,218541.0,462163.0728,1334,106258.0,224704.3569,0
1743556080,2.1143,2.1144,2.1072,2.1074,102497.0,216312.982,1366,64723.0,136577.5308,0
1743556140,2.1073,2.1073,2.1042,2.105,192257.0,404839.3287,1557,81533.0,171669.526,0
1743556200,2.105,2.1088,2.105,2.1085,123620.0,260497.8569,1360,70558.0,148649.6939,0
1743556260,2.1085,2.1094,2.1053,2.1072,116309.0,245123.3102,1365,62131.0,130919.4942,0
1743556320,2.1071,2.1099,2.1055,2.108,55660.0,117304.2601,1500,39153.0,82510.5994,0
1743556380,2.108,2.1119,2.108,2.1101,103471.0,218314.6954,1016,79438.0,167599.6733,0
1743556440,2.1101,2.1111,2.1076,2.1087,61802.0,130344.2057,821,19023.0,40126.1829,0
1743556500,2.1086,2.113,2.1079,2.1111,40764.0,86038.5737,747,26342.0,55590.4699,0
1743556560,2.111,2.1117,2.1088,2.1117,99946.0,210938.2717,939,49628.0,104745.0712,0
1743556620,2.1118,2.1148,2.1118,2.1128,60269.0,127367.5514,1316,30221.0,63860.1697,0
1743556680,2.1127,2.1131,2.11,2.1124,49663.0,104850.5213,859,25683.0,54212.924,0
1743556740,2.1123,2.1134,2.1105,2.1111,28628.0,60472.56,695,17216.0,36369.094,0
1743556800,2.1112,2.1114,2.1066,2.1072,65491.0,138103.0452,551,51453.0,108484.4828,0
1743556860,2.1072,2.1079,2.1059,2.1059,56245.0,118494.7036,594,34838.0,73398.6386,0
1743556920,2.1058,2.1058,2.1032,2.1046,73893.0,155487.0295,720,39785.0,83718.41,0
1743556980,2.1047,2.108,2.1047,2.108,78960.0,166331.0713,668,65795.0,138590.5968,0
1743557040,2.108,2.108,2.105,2.1055,19390.0,40845.0469,386,8430.0,17757.0305,0
1743557100,2.1056,2.108,2.1053,2.1074,38961.0,82088.8418,547,16536.0,34839.6269,0
1743557160,2.1074,2.11,2.1071,2.1096,71029.0,149810.2697,656,44844.0,94589.5257,0
1743557220,2.1096,2.1096,2.1068,2.1084,40881.0,86189.1169,534,13740.0,28967.6641,0
1743557280,2.1084,2.109,2.1066,2.1068,14053.0,29625.4645,393,8136.0,17152.7735,0
1743557340,2.1069,2.1079,2.1056,2.1069,56380.0,118787.3585,502,37890.0,79833.37,0
1743557400,2.107,2.1094,2.1047,2.1086,34330.0,72340.1557,697,22599.0,47619.7542,0
1743557460,2.1085,2.111,2.1077,2.1109,99367.0,209632.5544,666,80409.0,169645.0351,0
1743557520,2.111,2.1124,2.1073,2.1073,59046.0,124619.5924,1088,15329.0,32353.8709,0
1743557580,2.1073,2.1104,2.1065,2.1096,245413.0,517379.0645,992,139296.0,293750.6182,0
1743557640,2.1095,2.1108,2.1091,2.1096,238337.0,502890.3914,913,126457.0,266815.9166,0
1743557700,2.1097,2.1139,2.1097,2.1132,98705.0,208359.1344,781,90701.0,191448.0077,0
1743557760,2.1132,2.1177,2.1127,2.1168,54056.0,114405.6913,905,39069.0,82686.1843,0
1743557820,2.1168,2.1184,2.1149,2.1184,149826.0,317080.4789,1037,67867.0,143651.1019,0
1743557880,2.1183,2.1183,2.1162,2.1169,53441.0,113132.9656,685,39759.0,84163.7445,0
1743557940,2.1169,2.117,2.1151,2.1151,84090.0,177947.3488,716,16606.0,35140.7534,0
1743558000,2.1151,2.1165,2.1142,2.1149,58981.0,124742.0361,784,30774.0,65088.3713,0
1743558060,2.1149,2.1187,2.1148,2.1181,65527.0,138699.7724,870,30171.0,63868.2626,0
1743558120,2.1181,2.1196,2.116,2.1163,120759.0,255796.89,714,81437.0,172510.7816,0
1743558180,2.1163,2.1179,2.1154,2.1157,39556.0,83713.5413,409,21515.0,45534.1448,0
1743558240,2.1157,2.117,2.1144,2.1145,80425.0,170101.7367,463,26431.0,55902.619,0
1743558300,2.1144,2.1158,2.1141,2.1153,49716.0,105133.335,715,38668.0,81766.7134,0
1743558360,2.1154,2.1154,2.1117,2.1118,22781.0,48161.0772,455,6339.0,13401.1065,0
1743558420,2.1117,2.1117,2.1072,2.1081,119098.0,251140.0133,656,19828.0,41807.3332,0
1743558480,2.1082,2.1091,2.107,2.1077,30554.0,64415.7263,525,20101.0,42378.9267,0
1743558540,2.1077,2.1094,2.1077,2.109,30563.0,64446.1439,406,19679.0,41494.155,0
1743558600,2.1089,2.1099,2.1075,2.1095,251951.0,531390.1742,886,226257.0,477204.9722,0
1743558660,2.1095,2.1095,2.1071,2.1076,81561.0,171931.8119,619,30740.0,64810.6789,0
1743558720,2.1076,2.1093,2.1069,2.1089,155908.0,328685.4641,750,57053.0,120288.2415,0
1743558780,2.1089,2.1112,2.108,2.1103,37477.0,79059.2403,597,28944.0,61055.2352,0
1743558840,2.1104,2.1105,2.109,2.1103,51389.0,108427.5645,394,26030.0,54924.7097,0
1743558900,2.1102,2.1103,2.1067,2.1072,52985.0,111728.275,405,39974.0,84281.3925,0
1743558960,2.1072,2.1085,2.1069,2.1078,36543.0,77014.8157,414,26619.0,56098.5185,0
1743559020,2.1078,2.1087,2.1062,2.1087,31533.0,66460.9576,410,21771.0,45893.9995,0
1743559080,2.1088,2.1114,2.1088,2.1107,82065.0,173162.1654,476,67550.0,142523.9276,0
1743559140,2.1106,2.1112,2.1098,2.1103,20468.0,43200.7366,242,14790.0,31216.9773,0
1743559200,2.1103,2.1114,2.1069,2.1091,98361.0,207450.7817,1019,72292.0,152466.5731,0
1743559260,2.1091,2.11,2.1064,2.1077,92223.0,194315.7039,595,22224.0,46846.6351,0
1743559320,2.1077,2.1131,2.1077,2.1095,111245.0,234824.1311,793,87330.0,184320.2101,0
1743559380,2.1094,2.1103,2.1076,2.1077,57365.0,120999.0022,560,33517.0,70700.7423,0
1743559440,2.1076,2.1093,2.1064,2.1076,44706.0,94225.3525,646,36408.0,76736.409,0
1743559500,2.1076,2.1076,2.1036,2.1046,182650.0,384504.1568,857,137632.0,289732.9475,0
1743559560,2.1045,2.1049,2.1025,2.1026,131112.0,275772.4052,894,86497.0,181935.4742,0
1743559620,2.1026,2.1026,2.098,2.0982,607367.0,1275631.0003,2520,135481.0,284644.2772,0
1743559680,2.0981,2.0997,2.0971,2.0989,164711.0,345700.3409,1094,96585.0,202704.4641,0
1743559740,2.0988,2.0991,2.095,2.0957,357087.0,748586.727,2263,114429.0,239860.4605,0
1743559800,2.0958,2.0964,2.092,2.0933,211937.0,443760.2146,2391,113112.0,236848.5977,0
1743559860,2.0934,2.0952,2.0897,2.0921,526008.0,1100602.4416,2696,296032.0,619430.1799,0
1743559920,2.092,2.0938,2.0887,2.0933,323836.0,677174.5434,2311,122465.0,256130.9459,0
1743559980,2.0932,2.0941,2.0917,2.0935,92651.0,193921.0992,1349,30876.0,64633.4782,0
1743560040,2.0935,2.0948,2.0896,2.0916,157359.0,329089.3401,1927,45251.0,94637.3879,0
1743560100,2.0916,2.092,2.0895,2.091,181624.0,379780.3146,1720,63409.0,132584.7373,0
1743560160,2.091,2.0966,2.0897,2.096,353924.0,741506.899,1768,93018.0,194747.5114,0
1743560220,2.0961,2.0963,2.0934,2.0952,54383.0,113934.7487,1693,21590.0,45238.2482,0
1743560280,2.0952,2.0953,2.0893,2.0931,554317.0,1159257.5682,1576,44919.0,93996.1726,0
1743560340,2.093,2.093,2.0875,2.0888,168067.0,351057.6692,1795,54450.0,113715.8382,0
1743560400,2.0888,2.0889,2.085,2.0868,264431.0,551706.8009,1740,97282.0,202966.346,0
1743560460,2.0868,2.0916,2.0851,2.0897,265187.0,554020.3265,1866,222605.0,465043.2593,0
1743560520,2.0897,2.0929,2.0884,2.0921,108761.0,227293.5289,1578,74754.0,156240.4475,0
1743560580,2.0921,2.0933,2.091,2.0925,113414.0,237283.9164,891,87589.0,183255.7054,0
1743560640,2.0925,2.0947,2.0913,2.0947,113492.0,237610.9397,1190,80880.0,169368.1776,0
1743560700,2.0947,2.0947,2.0924,2.0928,213832.0,447604.9967,1153,43452.0,90976.9924,0
1743560760,2.0927,2.0942,2.0915,2.0942,41745.0,87342.1251,1016,22708.0,47509.0916,0
1743560820,2.0942,2.0962,2.0935,2.0957,82265.0,172340.6179,929,70098.0,146852.2868,0
1743560880,2.0957,2.097,2.095,2.0957,48224.0,101065.6409,798,26306.0,55131.86,0
1743560940,2.0957,2.0979,2.0953,2.0973,35847.0,75169.3316,663,30101.0,63120.5507,0
1743561000,2.0972,2.099,2.0967,2.0989,34978.0,73379.8357,906,16635.0,34893.2719,0
1743561060,2.099,2.1006,2.0983,2.0987,135835.0,285213.4401,846,97145.0,203970.8227,0
1743561120,2.0988,2.099,2.0977,2.098,63551.0,133333.9896,578,33197.0,69650.2118,0
1743561180,2.0981,2.0996,2.0972,2.0985,130167.0,273092.8119,585,113832.0,238807.91,0
1743561240,2.0984,2.0985,2.0951,2.0961,73540.0,154219.0893,672,31619.0,66289.4446,0
1743561300,2.0962,2.0962,2.0924,2.0928,84588.0,177065.5664,735,10235.0,21426.6641,0
1743561360,2.0928,2.0935,2.0881,2.0881,176373.0,368673.0386,1235,67461.0,141003.6123,0
1743561420,2.0881,2.0896,2.0865,2.0896,238337.0,497518.3562,1271,192464.0,401732.5524,0
1743561480,2.0896,2.0919,2.0894,2.0919,53204.0,111229.8485,589,36100.0,75472.3164,0
1743561540,2.092,2.0926,2.0902,2.0909,22291.0,46625.19,574,4738.0,9907.6304,0
1743561600,2.0909,2.0917,2.0894,2.0916,139976.0,292631.0782,825,113080.0,236393.0416,0
1743561660,2.0916,2.0925,2.0884,2.0884,42192.0,88232.124,712,9854.0,20608.9056,0
1743561720,2.0884,2.0914,2.0881,2.0914,61413.0,128336.6428,605,40669.0,84983.8072,0
1743561780,2.0914,2.0916,2.09,2.0913,15454.0,32318.0793,388,4088.0,8547.7224,0
1743561840,2.0912,2.092,2.0886,2.0895,81414.0,170121.976,533,24428.0,51043.3467,0
1743561900,2.0895,2.0943,2.0895,2.0932,32074.0,67080.9051,735,17251.0,36080.2808,0
1743561960,2.0932,2.0953,2.0925,2.0941,103626.0,216956.0325,649,45595.0,95439.6753,0
1743562020,2.0942,2.0947,2.0916,2.0918,51792.0,108420.3936,649,8562.0,17921.6527,0
1743562080,2.0919,2.0936,2.0916,2.0936,38919.0,81442.1854,611,15367.0,32155.2684,0
1743562140,2.0935,2.0938,2.0914,2.0921,51312.0,107340.5458,507,27621.0,57775.9186,0
1743562200,2.0921,2.0951,2.0917,2.0949,153310.0,321074.3817,633,145190.0,304070.8597,0
1743562260,2.095,2.0968,2.095,2.0968,69837.0,146354.0156,610,60715.0,127237.2301,0
1743562320,2.0968,2.0981,2.0961,2.0979,108382.0,227320.297,480,47281.0,99161.4784,0
