open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743206400,2.2072,2.208,2.2044,2.2049,99982.0,220554.007,1139,18563.0,40956.3159,0
1743206460,2.205,2.2051,2.2009,2.201,30089.0,66281.0298,605,11557.0,25464.9303,0
1743206520,2.2009,2.2082,2.2002,2.2081,99813.0,219997.6145,1203,60335.0,133006.9105,0
1743206580,2.2082,2.2103,2.2082,2.2087,89792.0,198397.2927,830,48383.0,106908.5503,0
1743206640,2.2088,2.2099,2.2087,2.2098,19634.0,43380.2869,334,13899.0,30708.2738,0
1743206700,2.2097,2.2104,2.2087,2.2101,73789.0,163040.57,665,41292.0,91231.0712,0
1743206760,2.2101,2.2111,2.2083,2.2088,97860.0,216245.765,991,40891.0,90365.4054,0
1743206820,2.2088,2.2098,2.208,2.2095,61891.0,136714.0581,599,38750.0,85595.2592,0
1743206880,2.2095,2.211,2.2086,2.2106,54321.0,120065.4448,526,33241.0,73472.8992,0
1743206940,2.2106,2.2123,2.2105,2.2108,86625.0,191542.9744,676,32209.0,71219.79,0
1743207000,2.2108,2.2119,2.2104,2.2118,189264.0,418468.8091,579,154332.0,341232.159,0
1743207060,2.2118,2.212,2.2106,2.2106,58126.0,128537.3632,566,17803.0,39363.2223,0
1743207120,2.2105,2.2107,2.2091,2.2106,55161.0,121890.3451,565,27187.0,60073.2149,0
1743207180,2.2106,2.2136,2.2106,2.2133,32644.0,72229.963,608,19631.0,43435.2058,0
1743207240,2.2134,2.2141,2.2134,2.2141,46731.0,103444.3751,367,37924.0,83949.9376,0
1743207300,2.2141,2.2143,2.2122,2.2123,275665.0,610235.6429,928,156838.0,347182.4114,0
1743207360,2.2123,2.2139,2.2098,2.2138,240480.0,531738.5513,922,73895.0,163382.3882,0
1743207420,2.2139,2.2159,2.2139,2.2158,76834.0,170187.0027,754,54922.0,121651.4611,0
1743207480,2.2157,2.2167,2.2157,2.2166,70136.0,155421.7035,565,48362.0,107170.7751,0
1743207540,2.2165,2.2172,2.216,2.217,328005.0,727067.175,678,252897.0,560591.0284,0
1743207600,2.217,2.2174,2.215,2.215,235024.0,520852.9026,1326,59975.0,132907.4521,0
1743207660,2.215,2.2152,2.2141,2.2143,46285.0,102498.746,551,11652.0,25803.0356,0
1743207720,2.2142,2.2175,2.2142,2.2175,102882.0,228016.5926,731,83904.0,185950.9674,0
1743207780,2.2174,2.2179,2.2155,2.2156,263658.0,584407.9516,800,55130.0,122186.1247,0
1743207840,2.2156,2.2164,2.2146,2.2147,53567.0,118661.002,635,24516.0,54306.8379,0
1743207900,2.2147,2.2147,2.2129,2.2129,60482.0,133877.0046,429,26694.0,59079.5468,0
1743207960,2.213,2.2154,2.213,2.214,95579.0,211623.179,793,50647.0,112129.402,0
1743208020,2.2141,2.2156,2.2136,2.215,64182.0,142137.5326,816,26606.0,58920.1294,0
1743208080,2.2149,2.2163,2.2147,2.2147,22273.0,49345.8786,496,11567.0,25627.9948,0
1743208140,2.2146,2.2163,2.2146,2.2151,118159.0,261813.7763,501,28833.0,63877.0411,0
1743208200,2.2151,2.2151,2.2121,2.2127,59990.0,132779.1519,541,28199.0,62393.8621,0
1743208260,2.2127,2.2144,2.2116,2.2142,59303.0,131192.7299,642,31280.0,69204.3146,0
1743208320,2.2143,2.2185,2.2143,2.2175,42462.0,94148.1435,717,36432.0,80777.0537,0
1743208380,2.2174,2.2186,2.2167,2.2183,57696.0,127957.8215,455,27733.0,61513.7417,0
