open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743897600,2.1443,2.1457,2.1412,2.1417,52357.0,112240.3195,904,11201.0,24007.177,0
1743897660,2.1416,2.1419,2.1396,2.1418,24600.0,52661.7334,556,14009.0,29993.1688,0
1743897720,2.1418,2.1434,2.1414,2.1416,20052.0,42960.106,567,5309.0,11374.0843,0
1743897780,2.1416,2.1421,2.1404,2.142,27167.0,58172.9887,479,9876.0,21147.4154,0
1743897840,2.142,2.1435,2.141,2.141,34766.0,74484.2361,579,18010.0,38595.0484,0
1743897900,2.1411,2.1425,2.141,2.1423,14821.0,31740.7926,647,4414.0,9452.577,0
1743897960,2.1424,2.1424,2.1381,2.1382,14983.0,32065.1577,763,2803.0,5997.3172,0
1743898020,2.1381,2.1394,2.1377,2.1392,26127.0,55867.7819,531,11395.0,24368.0771,0
1743898080,2.1393,2.1407,2.1393,2.1396,16043.0,34332.3694,405,6249.0,13371.9698,0
1743898140,2.1396,2.1421,2.1396,2.1421,21642.0,46322.3667,246,11297.0,24179.9586,0
1743898200,2.1421,2.1424,2.1399,2.1416,27180.0,58204.2453,596,8148.0,17444.3316,0
1743898260,2.1417,2.1435,2.1409,2.1429,44493.0,95306.6433,701,21442.0,45932.2184,0
1743898320,2.143,2.1437,2.1416,2.1418,21901.0,46932.2396,500,6743.0,14451.031,0
1743898380,2.1417,2.1417,2.1401,2.1409,12053.0,25801.5777,477,2599.0,5563.7241,0
1743898440,2.1409,2.1422,2.1409,2.1414,16200.0,34692.4357,479,3799.0,8136.0127,0
1743898500,2.1413,2.1433,2.1413,2.1432,9419.0,20178.2908,510,6621.0,14183.5741,0
1743898560,2.1432,2.1456,2.1432,2.1453,34663.0,74345.3171,657,18391.0,39438.6758,0
1743898620,2.1452,2.1456,2.1429,2.1438,34627.0,74254.3914,622,13288.0,28483.1721,0
1743898680,2.1439,2.1455,2.1432,2.1449,28500.0,61107.4399,603,15346.0,32899.5789,0
1743898740,2.1449,2.1473,2.1449,2.1453,94721.0,203263.0366,774,36490.0,78301.1838,0
1743898800,2.1454,2.148,2.1454,2.148,92053.0,197610.3228,674,81113.0,174117.5208,0
1743898860,2.148,2.1481,2.1462,2.1462,10527.0,22607.69,469,5710.0,12262.0506,0
1743898920,2.1461,2.1469,2.1457,2.1461,15399.0,33048.9063,419,8171.0,17536.6786,0
1743898980,2.1462,2.1464,2.1451,2.1453,68403.0,146773.5131,655,42906.0,92066.8138,0
1743899040,2.1452,2.1467,2.1452,2.1462,23834.0,51150.4146,264,20859.0,44765.1738,0
1743899100,2.1461,2.1461,2.1443,2.146,30002.0,64344.6434,425,7524.0,16138.2585,0
