timestamp,symbol,total_bid_size,vwap
2025-04-08T06:31:00,XRP/USDT,127844.06509000013,1.8742789223309984
2025-04-08T06:32:00,XRP/USDT,118362.82363999992,1.8735562641431867
2025-04-08T06:33:00,XRP/USDT,139406.34376999992,1.8714233051850593
2025-04-08T06:34:00,XRP/USDT,157455.5172000001,1.8692554345697663
2025-04-08T06:35:00,XRP/USDT,141376.19183000003,1.8694736740811146
2025-04-08T06:36:00,XRP/USDT,147278.0056200001,1.8676376793071743
2025-04-08T06:37:00,XRP/USDT,138061.06827,1.8674080638397914
2025-04-08T06:38:00,XRP/USDT,116459.15004000007,1.8686644925112148
2025-04-08T06:39:00,XRP/USDT,172456.9588299999,1.8658448401984795
2025-04-08T06:40:00,XRP/USDT,139929.65534000006,1.8657230541792758
2025-04-08T06:41:00,XRP/USDT,133605.29816999994,1.869208203687825
2025-04-08T06:42:00,XRP/USDT,94971.88491000001,1.868206723496974
2025-04-08T06:43:00,XRP/USDT,119781.99684,1.8691096070178028
2025-04-08T06:44:00,XRP/USDT,142341.0060600001,1.868322683920413
2025-04-08T06:45:00,XRP/USDT,149150.35874999984,1.8682768366387648
2025-04-08T06:46:00,XRP/USDT,124522.6916399999,1.8652341576519118
2025-04-08T06:47:00,XRP/USDT,96855.77307000008,1.8622043269748363
2025-04-08T06:48:00,XRP/USDT,88430.14422999992,1.8614235873860663
2025-04-08T06:49:00,XRP/USDT,78331.26107000007,1.8615525663673724
2025-04-08T06:50:00,XRP/USDT,115933.31027999983,1.8615439556895153
2025-04-08T06:51:00,XRP/USDT,106808.36127999998,1.8608282409114045
2025-04-08T06:52:00,XRP/USDT,90267.92580000004,1.861901208346099
2025-04-08T06:53:00,XRP/USDT,78112.92537000008,1.861302351682415
2025-04-08T06:54:00,XRP/USDT,106273.53410999994,1.859396589706244
2025-04-08T06:55:00,XRP/USDT,84226.30225999998,1.8592975231096989
2025-04-08T06:56:00,XRP/USDT,111267.70498000002,1.8602072891902033
2025-04-08T06:57:00,XRP/USDT,91897.93288000002,1.860392800077544
