ID,DateTime,Symbol,Side,Quantity,Rate,source,trade_account_id,fill_counter,fill_type,fill_quantity,remaining_quantity,bid_timestamp,bid_symbol,bid_price,bid_size,bid_remaining_size
415019588,2025-04-22 22:53:15.874000,XRPUSD,Buy,200.0,2.20846,market,other,1,fill,200.0,0.0,2025-04-22 22:53:15.858139,XRPUSD,2.2075,226.5,26.5
415019590,2025-04-22 22:53:15.874000,XRPUSD,Buy,607.5,2.20847,market,other,1,partial_fill,26.5,581.0,2025-04-22 22:53:15.858139,XRPUSD,2.2075,226.5,0.0
415019590,2025-04-22 22:53:15.874000,XRPUSD,Buy,607.5,2.20847,market,other,2,partial_fill,339.7,241.3,2025-04-22 22:53:15.755642,XRPUSD,2.2075,339.7,0.0
415019590,2025-04-22 22:53:15.874000,XRPUSD,Buy,607.5,2.20847,market,other,3,partial_fill,241.3,0.0,2025-04-22 22:53:15.497981,XRPUSD,2.2075,339.7,98.39999999999998
415019591,2025-04-22 22:53:15.874000,XRPUSD,Buy,192.5,2.20847,market,other,1,partial_fill,98.39999999999998,94.10000000000002,2025-04-22 22:53:15.497981,XRPUSD,2.2075,339.7,0.0
415019591,2025-04-22 22:53:15.874000,XRPUSD,Buy,192.5,2.20847,market,other,2,partial_fill,94.10000000000002,0.0,2025-04-22 22:53:15.174517,XRPUSD,2.2075,339.7,245.59999999999997
415019660,2025-04-22 22:53:32.324000,XRPUSD,Buy,3398.92475422,2.20684,market,other,1,partial_fill,113.2,3285.7247542200002,2025-04-22 22:53:32.252809,XRPUSD,2.2061,113.2,0.0
415019660,2025-04-22 22:53:32.324000,XRPUSD,Buy,3398.92475422,2.20684,market,other,2,partial_fill,113.2,3172.5247542200004,2025-04-22 22:53:31.978145,XRPUSD,2.2061,113.2,0.0
415019660,2025-04-22 22:53:32.324000,XRPUSD,Buy,3398.92475422,2.20684,market,other,3,partial_fill,1062.4321,2110.0926542200004,2025-04-22 22:53:31.727904,XRPUSD,2.20591,1062.4321,0.0
415019660,2025-04-22 22:53:32.324000,XRPUSD,Buy,3398.92475422,2.20684,market,other,4,partial_fill,890.2625,1219.8301542200004,2025-04-22 22:53:31.612780,XRPUSD,2.20589,890.2625,0.0
415019660,2025-04-22 22:53:32.324000,XRPUSD,Buy,3398.92475422,2.20684,market,other,5,partial_fill,890.2625,329.56765422000035,2025-04-22 22:53:31.351384,XRPUSD,2.20589,890.2625,0.0
415019660,2025-04-22 22:53:32.324000,XRPUSD,Buy,3398.92475422,2.20684,market,other,6,partial_fill,329.56765422000035,0.0,2025-04-22 22:53:31.105670,XRPUSD,2.20576,1937.8793,1608.3116457799997
415019675,2025-04-22 22:53:34.514000,XRPUSD,Buy,6.629,2.20747,market,other,1,fill,6.629,0.0,2025-04-22 22:53:34.511990,XRPUSD,2.20663,813.033,806.404
415019710,2025-04-22 22:53:49.278000,XRPUSD,Buy,200.0,2.20704,market,other,1,fill,200.0,0.0,2025-04-22 22:53:49.115828,XRPUSD,2.20611,1262.135,1062.135
415019711,2025-04-22 22:53:49.278000,XRPUSD,Buy,2001.01481447,2.20704,market,other,1,partial_fill,1062.135,938.8798144699999,2025-04-22 22:53:49.115828,XRPUSD,2.20611,1262.135,0.0
415019711,2025-04-22 22:53:49.278000,XRPUSD,Buy,2001.01481447,2.20704,market,other,2,partial_fill,566.2526,372.6272144699999,2025-04-22 22:53:49.015516,XRPUSD,2.20611,566.2526,0.0
415019711,2025-04-22 22:53:49.278000,XRPUSD,Buy,2001.01481447,2.20704,market,other,3,partial_fill,248.2196,124.40761446999988,2025-04-22 22:53:48.754160,XRPUSD,2.20611,248.2196,0.0
