ID,DateTime,Symbol,Side,Quantity,Rate,source,trade_account_id,fill_counter,fill_type,fill_quantity,remaining_quantity,bid_timestamp,bid_symbol,bid_price,bid_size,bid_remaining_size
415030134,2025-04-22 23:38:02.451000,XRPUSD,Buy,2149.2,2.22192,market,other,1,partial_fill,22.8,2126.3999999999996,2025-04-22 23:38:02.517343,XRPUSD,2.221,22.8,0.0
415030134,2025-04-22 23:38:02.451000,XRPUSD,Buy,2149.2,2.22192,market,other,2,partial_fill,495.0,1631.3999999999996,2025-04-22 23:38:02.244019,XRPUSD,2.22124,495.0,0.0
415030134,2025-04-22 23:38:02.451000,XRPUSD,Buy,2149.2,2.22192,market,other,3,partial_fill,6.7518,1624.6481999999996,2025-04-22 23:38:01.892090,XRPUSD,2.22161,6.7518,0.0
415030134,2025-04-22 23:38:02.451000,XRPUSD,Buy,2149.2,2.22192,market,other,4,partial_fill,557.8751,1066.7730999999997,2025-04-22 23:38:01.784951,XRPUSD,2.22161,557.8751,0.0
415030134,2025-04-22 23:38:02.451000,XRPUSD,Buy,2149.2,2.22192,market,other,5,partial_fill,197.0,869.7730999999997,2025-04-22 23:38:01.504797,XRPUSD,2.2219,197.0,0.0
415030134,2025-04-22 23:38:02.451000,XRPUSD,Buy,2149.2,2.22192,market,other,6,partial_fill,197.0,672.7730999999997,2025-04-22 23:38:01.120024,XRPUSD,2.2219,197.0,0.0
415030134,2025-04-22 23:38:02.451000,XRPUSD,Buy,2149.2,2.22192,market,other,7,partial_fill,672.7730999999997,0.0,2025-04-22 23:38:01.009257,XRPUSD,2.22217,2500.0,1827.2269000000003
415030222,2025-04-22 23:38:37.464000,XRPUSD,Buy,200.0,2.22122,market,other,1,fill,200.0,0.0,2025-04-22 23:38:37.354860,XRPUSD,2.21994,1753.6864,1553.6864
415030223,2025-04-22 23:38:37.464000,XRPUSD,Buy,607.5,2.22122,market,other,1,fill,607.5,0.0,2025-04-22 23:38:37.354860,XRPUSD,2.21994,1753.6864,946.1864
415030224,2025-04-22 23:38:37.464000,XRPUSD,Buy,1041.5,2.22124,market,other,1,partial_fill,946.1864,95.31359999999995,2025-04-22 23:38:37.354860,XRPUSD,2.21994,1753.6864,0.0
415030224,2025-04-22 23:38:37.464000,XRPUSD,Buy,1041.5,2.22124,market,other,2,partial_fill,95.31359999999995,0.0,2025-04-22 23:38:37.251459,XRPUSD,2.21994,1753.6864,1658.3728
415030288,2025-04-22 23:38:52.623000,XRPUSD,Buy,2149.2,2.22028,market,other,1,partial_fill,846.9047,1302.2952999999998,2025-04-22 23:38:52.655354,XRPUSD,2.219,846.9047,0.0
415030288,2025-04-22 23:38:52.623000,XRPUSD,Buy,2149.2,2.22028,market,other,2,partial_fill,27.527,1274.7682999999997,2025-04-22 23:38:52.392310,XRPUSD,2.21925,27.527,0.0
415030288,2025-04-22 23:38:52.623000,XRPUSD,Buy,2149.2,2.22028,market,other,3,partial_fill,27.527,1247.2412999999997,2025-04-22 23:38:52.283411,XRPUSD,2.21925,27.527,0.0
415030288,2025-04-22 23:38:52.623000,XRPUSD,Buy,2149.2,2.22028,market,other,4,partial_fill,337.7,909.5412999999996,2025-04-22 23:38:52.005013,XRPUSD,2.2196,337.7,0.0
415030288,2025-04-22 23:38:52.623000,XRPUSD,Buy,2149.2,2.22028,market,other,5,partial_fill,337.7,571.8412999999996,2025-04-22 23:38:51.641401,XRPUSD,2.2196,337.7,0.0
415030288,2025-04-22 23:38:52.623000,XRPUSD,Buy,2149.2,2.22028,market,other,6,partial_fill,337.7,234.1412999999996,2025-04-22 23:38:51.529171,XRPUSD,2.2196,337.7,0.0
415030288,2025-04-22 23:38:52.623000,XRPUSD,Buy,2149.2,2.22028,market,other,7,partial_fill,234.1412999999996,0.0,2025-04-22 23:38:51.259322,XRPUSD,2.2196,337.7,103.55870000000039
415030291,2025-04-22 23:38:52.684000,XRPUSD,Buy,744.9,2.22029,market,other,1,partial_fill,103.55870000000039,641.3412999999996,2025-04-22 23:38:51.259322,XRPUSD,2.2196,337.7,0.0
415030291,2025-04-22 23:38:52.684000,XRPUSD,Buy,744.9,2.22029,market,other,2,partial_fill,112.5,528.8412999999996,2025-04-22 23:38:50.877245,XRPUSD,2.2196,112.5,0.0
415030291,2025-04-22 23:38:52.684000,XRPUSD,Buy,744.9,2.22029,market,other,3,partial_fill,495.0,33.84129999999959,2025-04-22 23:38:50.775327,XRPUSD,2.21962,495.0,0.0
415030291,2025-04-22 23:38:52.684000,XRPUSD,Buy,744.9,2.22029,market,other,4,partial_fill,33.84129999999959,0.0,2025-04-22 23:38:50.504843,XRPUSD,2.21946,1303.0231,1269.1818000000005
415030292,2025-04-22 23:38:52.684000,XRPUSD,Buy,2753.68065161,2.22029,market,other,1,partial_fill,1269.1818000000005,1484.4988516099995,2025-04-22 23:38:50.504843,XRPUSD,2.21946,1303.0231,0.0
415030292,2025-04-22 23:38:52.684000,XRPUSD,Buy,2753.68065161,2.22029,market,other,2,partial_fill,1303.0231,181.4757516099994,2025-04-22 23:38:50.139898,XRPUSD,2.21946,1303.0231,0.0
415030292,2025-04-22 23:38:52.684000,XRPUSD,Buy,2753.68065161,2.22029,market,other,3,partial_fill,181.4757516099994,0.0,2025-04-22 23:38:50.028118,XRPUSD,2.21946,808.0231,626.5473483900006
415030297,2025-04-22 23:38:54.623000,XRPUSD,Buy,2529.42080719,2.22081,market,other,1,partial_fill,1831.2896,698.1312071899997,2025-04-22 23:38:54.537434,XRPUSD,2.21938,1831.2896,0.0
415030297,2025-04-22 23:38:54.623000,XRPUSD,Buy,2529.42080719,2.22081,market,other,2,partial_fill,112.5,585.6312071899997,2025-04-22 23:38:54.135757,XRPUSD,2.2194,112.5,0.0
415030297,2025-04-22 23:38:54.623000,XRPUSD,Buy,2529.42080719,2.22081,market,other,3,partial_fill,112.5,473.1312071899997,2025-04-22 23:38:54.027355,XRPUSD,2.2194,112.5,0.0
415030297,2025-04-22 23:38:54.623000,XRPUSD,Buy,2529.42080719,2.22081,market,other,4,partial_fill,473.1312071899997,0.0,2025-04-22 23:38:53.758998,XRPUSD,2.21938,767.3431,294.21189281000034
415030452,2025-04-22 23:39:31.004000,XRPUSD,Buy,40.656,2.22125,market,other,1,fill,40.656,0.0,2025-04-22 23:39:30.658363,XRPUSD,2.22017,1573.741,1533.085
